family,N,q,p,sample_idx,times,evals,aratio
Gilbert,5,0.25,1,0,1.7958788760006428,44,0.8435492846645739
Gilbert,5,0.25,1,1,0.2573966979980469,34,0.8111970029275081
Gilbert,5,0.25,1,2,0.24781678499130066,36,0.9216531477736112
Gilbert,5,0.25,1,3,0.2445803629962029,36,0.9216531477736112
Gilbert,5,0.25,1,4,0.1772470520081697,18,0.75
Gilbert,5,0.25,1,5,0.25820716099406127,34,0.8111970029275083
Gilbert,5,0.25,1,6,0.489569658995606,86,0.8429650338722449
Gilbert,5,0.25,1,7,0.21407294800155796,24,0.8228259320804204
Gilbert,5,0.25,1,8,0.5431150840013288,86,0.8429650338722449
Gilbert,5,0.25,1,9,0.3190406509966124,48,0.8646893704290834
Gilbert,6,0.25,1,0,0.22253787801309954,24,0.9352592840386353
Gilbert,6,0.25,1,1,0.22910994999983814,22,0.36918061640691663
Gilbert,6,0.25,1,2,0.22428581400890835,24,0.9352592840386353
Gilbert,6,0.25,1,3,0.22033897999790497,18,0.2427692849081912
Gilbert,6,0.25,1,4,0.29946477300836705,38,0.8677206091101292
Gilbert,6,0.25,1,5,0.21859642399067525,24,0.8566792438640052
Gilbert,6,0.25,1,6,0.31711226399056613,44,0.9393611648831686
Gilbert,6,0.25,1,7,0.18545864000043366,18,0.75
Gilbert,6,0.25,1,8,0.21016865500132553,18,0.26090709356849906
Gilbert,6,0.25,1,9,0.21823139300977346,24,0.8566792438640053
Gilbert,7,0.25,1,0,0.2800088259973563,18,0.2517207428187678
Gilbert,7,0.25,1,1,0.3000988549902104,32,0.8337662611222575
Gilbert,7,0.25,1,2,0.3327568280074047,36,0.31762262854709716
Gilbert,7,0.25,1,3,0.23877040299703367,20,0.5142502525952863
Gilbert,7,0.25,1,4,0.28673312001046725,32,0.7972414296187313
Gilbert,7,0.25,1,5,0.28595607698662207,34,0.8610150577778402
Gilbert,7,0.25,1,6,0.2579250790004153,24,0.3150462611099267
Gilbert,7,0.25,1,7,0.24284094799077138,22,0.3091805889290836
Gilbert,7,0.25,1,8,0.2876339419890428,20,0.30370088386150734
Gilbert,7,0.25,1,9,0.2786346710054204,24,0.18025305457007584
Gilbert,8,0.25,1,0,0.23707443800230976,18,0.45519569142147615
Gilbert,8,0.25,1,1,0.34168979901005514,34,0.7168110165407162
Gilbert,8,0.25,1,2,0.2799373660091078,26,0.47638885947378284
Gilbert,8,0.25,1,3,0.222142407001229,14,0.3616962439199542
Gilbert,8,0.25,1,4,0.27080074400873855,22,0.2266138064868144
Gilbert,8,0.25,1,5,0.2940798839990748,20,0.45603969670637207
Gilbert,8,0.25,1,6,0.3113672640029108,28,0.2276430435035297
Gilbert,8,0.25,1,7,0.25211539000156336,20,0.25176310336385943
Gilbert,8,0.25,1,8,0.3741322999994736,40,0.4093879920784283
Gilbert,8,0.25,1,9,0.3718663429899607,40,0.7354951682181264
Gilbert,9,0.25,1,0,0.2746944069949677,22,0.5285393175562485
Gilbert,9,0.25,1,1,0.4045970160077559,34,0.41759385883917605
Gilbert,9,0.25,1,2,0.285860396004864,20,0.28179185088474806
Gilbert,9,0.25,1,3,0.2738134349929169,18,0.39899113847731704
Gilbert,9,0.25,1,4,0.24974305099749472,16,0.38919938632440787
Gilbert,9,0.25,1,5,0.3856174499960616,28,0.27979892282656116
Gilbert,9,0.25,1,6,0.2906295730062993,20,0.3167982357382938
Gilbert,9,0.25,1,7,0.28187231899937615,26,0.8036352071835834
Gilbert,9,0.25,1,8,0.32867842800624203,32,0.8797222931095031
Gilbert,9,0.25,1,9,0.24645529099507257,16,0.4698805209863253
Gilbert,10,0.25,1,0,0.2933050920109963,22,0.3285169131874418
Gilbert,10,0.25,1,1,0.4631365370005369,40,0.7858954585086378
Gilbert,10,0.25,1,2,0.5021977270080242,44,0.4981490787100166
Gilbert,10,0.25,1,3,0.29087353199429344,22,0.4873690392218374
Gilbert,10,0.25,1,4,0.33562040398828685,18,0.2235705739875562
Gilbert,10,0.25,1,5,0.3096544639993226,20,0.28893134300893014
Gilbert,10,0.25,1,6,0.2485538189939689,16,0.47033024994406686
Gilbert,10,0.25,1,7,0.7617143690004013,66,0.17047460161866113
Gilbert,10,0.25,1,8,0.46635185899503995,52,0.9051277487445718
Gilbert,10,0.25,1,9,0.4314478349988349,32,0.6980960598771602
Gilbert,11,0.25,1,0,0.3744368850020692,28,0.7860553485286251
Gilbert,11,0.25,1,1,0.27696125900547486,18,0.3670465856341538
Gilbert,11,0.25,1,2,0.3718697550066281,20,0.2966770773336279
Gilbert,11,0.25,1,3,0.4627697249961784,40,0.3390522204883318
Gilbert,11,0.25,1,4,0.31226145499385893,20,0.2804098162495186
Gilbert,11,0.25,1,5,0.37664001299708616,20,0.23807663648861704
Gilbert,11,0.25,1,6,0.2874687290022848,18,0.3202484036313221
Gilbert,11,0.25,1,7,0.40281302400399,32,0.8001859241360374
Gilbert,11,0.25,1,8,0.31491762500081677,16,0.2827793318792899
Gilbert,11,0.25,1,9,0.3068851639982313,22,0.31866662748714986
Gilbert,12,0.25,1,0,0.32413527999597136,18,0.31030882315604524
Gilbert,12,0.25,1,1,0.6181164040026488,40,0.478562772607769
Gilbert,12,0.25,1,2,0.31222347500442993,18,0.23269662826466353
Gilbert,12,0.25,1,3,0.3219247220113175,18,0.3865397686234108
Gilbert,12,0.25,1,4,0.3785685100010596,18,0.31420507823908544
Gilbert,12,0.25,1,5,0.3892634219955653,22,0.2554022942096301
Gilbert,12,0.25,1,6,0.3603659009968396,18,0.27127826235134206
Gilbert,12,0.25,1,7,0.3534455240005627,20,0.32538904060792995
Gilbert,12,0.25,1,8,0.43038937999517657,22,0.29486130298496416
Gilbert,12,0.25,1,9,0.649833816991304,52,0.6239562020164376
Gilbert,13,0.25,1,0,0.34138594700198155,20,0.41107622042000896
Gilbert,13,0.25,1,1,0.40402886900119483,24,0.21544009912630185
Gilbert,13,0.25,1,2,0.3302863040007651,18,0.46515554786608365
Gilbert,13,0.25,1,3,0.4320048660010798,26,0.23129969072467146
Gilbert,13,0.25,1,4,0.37533321799128316,18,0.3753951202457924
Gilbert,13,0.25,1,5,0.34890334599185735,20,0.18032661996490035
Gilbert,13,0.25,1,6,0.4237985549989389,20,0.26758692723597627
Gilbert,13,0.25,1,7,0.35201935800432693,22,0.29450098234683797
Gilbert,13,0.25,1,8,0.39468766300706193,28,0.3041844673845433
Gilbert,13,0.25,1,9,0.45722773400484584,22,0.26144948052915956
Gilbert,14,0.25,1,0,0.7682344139902852,42,0.39300993926564426
Gilbert,14,0.25,1,1,0.7636896460026037,46,0.47740751335986664
Gilbert,14,0.25,1,2,0.4374138379935175,22,0.24351871089372437
Gilbert,14,0.25,1,3,0.4214789460093016,20,0.2576566073312433
Gilbert,14,0.25,1,4,0.8165138700132957,48,0.4498057317114741
Gilbert,14,0.25,1,5,0.5767779460002203,26,0.19350075221192395
Gilbert,14,0.25,1,6,0.46491512400098145,22,0.23405970244191185
Gilbert,14,0.25,1,7,0.39944510099303443,20,0.23883638175835017
Gilbert,14,0.25,1,8,0.6018234020011732,30,0.17882584769160406
Gilbert,14,0.25,1,9,0.5631715729978168,26,0.25810336360568054
Gilbert,15,0.25,1,0,0.5445827709918376,24,0.26632709319127423
Gilbert,15,0.25,1,1,0.6305797329987399,36,0.7623068090557539
Gilbert,15,0.25,1,2,0.5348716729931766,24,0.2119533755806565
Gilbert,15,0.25,1,3,0.5064486839983147,22,0.25006621400174334
Gilbert,15,0.25,1,4,0.41747154100448824,20,0.27062479433378556
Gilbert,15,0.25,1,5,0.47078806601348333,22,0.16651051425785873
Gilbert,15,0.25,1,6,0.45795663598983083,20,0.16343124631943415
Gilbert,15,0.25,1,7,0.49206116898858454,22,0.23757678893793438
Gilbert,15,0.25,1,8,0.4955003619979834,22,0.24281579721460997
Gilbert,15,0.25,1,9,0.4379324600013206,22,0.2491354259856748
Gilbert,5,0.25,2,0,0.5259481530083576,68,0.9292994466798926
Gilbert,5,0.25,2,1,0.4361746549984673,62,0.9459356698839209
Gilbert,5,0.25,2,2,0.46735930400609504,76,0.9929963775681675
Gilbert,5,0.25,2,3,0.46561468800064176,76,0.9929963775681676
Gilbert,5,0.25,2,4,0.1907787520030979,20,0.75
Gilbert,5,0.25,2,5,0.4347924510075245,62,0.9459356698839207
Gilbert,5,0.25,2,6,0.6974394139979267,108,0.9294579910434942
Gilbert,5,0.25,2,7,0.4242461940011708,60,0.991447952877901
Gilbert,5,0.25,2,8,0.6412610280094668,108,0.9294579910434941
Gilbert,5,0.25,2,9,0.7742555099976016,112,0.8742619963707232
Gilbert,6,0.25,2,0,0.384515105994069,48,0.9864138682799446
Gilbert,6,0.25,2,1,0.49646769399987534,56,0.7839418497941075
Gilbert,6,0.25,2,2,0.4300796940078726,48,0.9864138682799451
Gilbert,6,0.25,2,3,0.48018823900201824,48,0.8778074943039605
Gilbert,6,0.25,2,4,0.46670989200356416,60,0.9459814318212816
Gilbert,6,0.25,2,5,0.44941735100292135,58,0.9904758670121787
Gilbert,6,0.25,2,6,0.5674341910053045,72,0.9806797640063677
Gilbert,6,0.25,2,7,0.19836681899323594,20,0.75
Gilbert,6,0.25,2,8,0.481013170996448,52,0.9244640164361293
Gilbert,6,0.25,2,9,0.44838498800527304,58,0.9904758670121792
Gilbert,7,0.25,2,0,0.9615216210077051,88,0.5716865909373433
Gilbert,7,0.25,2,1,0.5563536230038153,54,0.9200868544049619
Gilbert,7,0.25,2,2,0.6919267039920669,74,0.8259528657374136
Gilbert,7,0.25,2,3,0.5946864959987579,52,0.767420841121022
Gilbert,7,0.25,2,4,0.50022533799347,58,0.9528175255803575
Gilbert,7,0.25,2,5,0.5713495850068284,64,0.9651966439627364
Gilbert,7,0.25,2,6,0.4746830389922252,48,0.8344743210581745
Gilbert,7,0.25,2,7,0.6437868970097043,60,0.7761233849592591
Gilbert,7,0.25,2,8,0.46519350599555764,44,0.7989332580092274
Gilbert,7,0.25,2,9,0.6300337090069661,54,0.853489905287406
Gilbert,8,0.25,2,0,0.5804856369941263,52,0.7666196790734419
Gilbert,8,0.25,2,1,0.743152161987382,64,0.7484608169599003
Gilbert,8,0.25,2,2,0.6099443590064766,54,0.7860292018476194
Gilbert,8,0.25,2,3,0.6017719910014421,48,0.4183761737648497
Gilbert,8,0.25,2,4,0.6940090319985757,56,0.8869598496780918
Gilbert,8,0.25,2,5,0.6426549919997342,54,0.7665749321581845
Gilbert,8,0.25,2,6,0.6912601819931297,58,0.81698179972013
Gilbert,8,0.25,2,7,0.5440293800056679,48,0.8051412196543006
Gilbert,8,0.25,2,8,0.7949181830044836,76,0.7652239675920114
Gilbert,8,0.25,2,9,0.6919266540062381,66,0.7760640002042133
Gilbert,9,0.25,2,0,0.6443213890015613,50,0.7855478099896448
Gilbert,9,0.25,2,1,0.7460337420052383,64,0.8285746358531909
Gilbert,9,0.25,2,2,1.404564479002147,98,0.5683366455844965
Gilbert,9,0.25,2,3,0.9371669760002987,60,0.4589549871202233
Gilbert,9,0.25,2,4,0.9895499080012087,70,0.4477026249402045
Gilbert,9,0.25,2,5,0.7501753059914336,54,0.8314517247750555
Gilbert,9,0.25,2,6,1.0811527170008048,74,0.5700774712581156
Gilbert,9,0.25,2,7,0.6951469749910757,62,0.9178265541120357
Gilbert,9,0.25,2,8,0.6336024810007075,56,0.95623154013186
Gilbert,9,0.25,2,9,1.7510184629936703,128,0.7625333890006543
Gilbert,10,0.25,2,0,0.7367746800009627,52,0.8063825139944543
Gilbert,10,0.25,2,1,0.8311249670077814,70,0.8524525654625951
Gilbert,10,0.25,2,2,1.069777447002707,78,0.6628351853212631
Gilbert,10,0.25,2,3,0.6380549470050028,46,0.8168401060407519
Gilbert,10,0.25,2,4,1.0308255209965864,64,0.4941255522420951
Gilbert,10,0.25,2,5,1.1330102479987545,68,0.2776879827989716
Gilbert,10,0.25,2,6,0.6864339809981175,46,0.7586250860292614
Gilbert,10,0.25,2,7,2.1164300289965468,156,0.6755808296741326
Gilbert,10,0.25,2,8,0.7836990740033798,76,0.9691249408850616
Gilbert,10,0.25,2,9,0.8393316479923669,62,0.7782524575263972
Gilbert,11,0.25,2,0,0.7824885269947117,52,0.8965440458051294
Gilbert,11,0.25,2,1,0.7449208239995642,48,0.782575277665163
Gilbert,11,0.25,2,2,1.4271866899944143,80,0.43000731873936393
Gilbert,11,0.25,2,3,1.2131447740102885,90,0.6780805646749836
Gilbert,11,0.25,2,4,0.9685331090004183,56,0.5855728815960837
Gilbert,11,0.25,2,5,1.1626791410089936,66,0.5817959973129355
Gilbert,11,0.25,2,6,0.7573904809978558,44,0.7217167391938631
Gilbert,11,0.25,2,7,0.833481762005249,58,0.8908824127726609
Gilbert,11,0.25,2,8,0.9075375910033472,56,0.5420605027166434
Gilbert,11,0.25,2,9,0.7087224999995669,48,0.8094521791565154
Gilbert,12,0.25,2,0,1.512949130992638,74,0.4025669369182155
Gilbert,12,0.25,2,1,1.4857560319942422,82,0.6238791558024329
Gilbert,12,0.25,2,2,1.1585690560023068,62,0.48091994487494927
Gilbert,12,0.25,2,3,2.8780394659988815,146,0.5251549791869718
Gilbert,12,0.25,2,4,1.6131312619982054,78,0.3264142033171657
Gilbert,12,0.25,2,5,2.9271731800108682,134,0.448166477446213
Gilbert,12,0.25,2,6,1.2149799860053463,62,0.5427482150641921
Gilbert,12,0.25,2,7,1.3358467539947014,66,0.4257283193410345
Gilbert,12,0.25,2,8,1.244186146010179,60,0.496689398291074
Gilbert,12,0.25,2,9,1.3584844449942466,88,0.681919425463756
Gilbert,13,0.25,2,0,1.0131304649985395,52,0.8027500422506293
Gilbert,13,0.25,2,1,1.466403482001624,86,0.44284141336833893
Gilbert,13,0.25,2,2,1.0252730200008955,50,0.4676495109012499
Gilbert,13,0.25,2,3,2.318748948004213,112,0.37093515513072534
Gilbert,13,0.25,2,4,1.4007451590005076,66,0.3603840604861757
Gilbert,13,0.25,2,5,1.5738664610107662,80,0.5934314021101311
Gilbert,13,0.25,2,6,1.8446348319994286,82,0.40489374465062467
Gilbert,13,0.25,2,7,1.0775366159941768,58,0.8051573289785334
Gilbert,13,0.25,2,8,0.8600532300042687,54,0.7989849319433049
Gilbert,13,0.25,2,9,1.96302179399936,86,0.557508580846048
Gilbert,14,0.25,2,0,1.5329933590110159,72,0.5630214723327948
Gilbert,14,0.25,2,1,1.6673449350055307,84,0.6288600367011529
Gilbert,14,0.25,2,2,2.261216169994441,88,0.34664470567614103
Gilbert,14,0.25,2,3,0.9812670310057001,46,0.8138015761347565
Gilbert,14,0.25,2,4,1.9560064790130127,92,0.5920808913726772
Gilbert,14,0.25,2,5,2.19755290899775,82,-0.20072490956168312
Gilbert,14,0.25,2,6,1.9224336029874394,82,0.5204365695444734
Gilbert,14,0.25,2,7,2.3888137140020262,92,0.4874100817326439
Gilbert,14,0.25,2,8,1.688509648985928,68,0.8326180278818727
Gilbert,14,0.25,2,9,2.733095620991662,100,0.45947776956890996
Gilbert,15,0.25,2,0,3.18781815400871,114,0.4677399004979583
Gilbert,15,0.25,2,1,1.3468698890064843,64,0.856866648951433
Gilbert,15,0.25,2,2,1.999463421991095,76,0.37092417128182525
Gilbert,15,0.25,2,3,2.395755958990776,86,0.3131973805841728
Gilbert,15,0.25,2,4,2.9343993540096562,106,0.43413913055040837
Gilbert,15,0.25,2,5,1.5718557950021932,66,0.5713587014386434
Gilbert,15,0.25,2,6,3.39579498799867,108,0.34822261296441087
Gilbert,15,0.25,2,7,1.7235297680017538,66,0.5019880365256328
Gilbert,15,0.25,2,8,2.0385452559858095,76,0.42603429959920874
Gilbert,15,0.25,2,9,1.9425320729933446,78,0.38389309593765414
Gilbert,5,0.25,3,0,0.8298359260079451,98,0.9679022526226823
Gilbert,5,0.25,3,1,0.8205185920087388,98,0.9612375696426856
Gilbert,5,0.25,3,2,1.0002261789923068,148,0.999999999997756
Gilbert,5,0.25,3,3,1.0624515669915127,148,0.9999999999977558
Gilbert,5,0.25,3,4,0.20713057200191543,22,0.75
Gilbert,5,0.25,3,5,0.8096247850044165,98,0.9612375696426848
Gilbert,5,0.25,3,6,0.9023223179974593,136,0.9676961374146732
Gilbert,5,0.25,3,7,0.8630894309899304,108,0.9999999999424986
Gilbert,5,0.25,3,8,0.9655002080107806,136,0.9676961374146732
Gilbert,5,0.25,3,9,1.2630417670006864,176,0.9218388620558415
Gilbert,6,0.25,3,0,0.776315868992242,86,0.9970202377788032
Gilbert,6,0.25,3,1,1.348929475992918,126,0.9626026312237277
Gilbert,6,0.25,3,2,0.7794971890107263,86,0.9970202377788032
Gilbert,6,0.25,3,3,1.6402391430019634,138,0.9401494077148959
Gilbert,6,0.25,3,4,0.8650880680070259,94,0.9755846039986674
Gilbert,6,0.25,3,5,1.0387219240074046,118,0.999999999998822
Gilbert,6,0.25,3,6,0.9542904789996101,110,0.9895588674830146
Gilbert,6,0.25,3,7,0.2201364780048607,22,0.7500000000000001
Gilbert,6,0.25,3,8,1.2113048060127767,112,0.9912131904111391
Gilbert,6,0.25,3,9,1.0409059610101394,118,0.9999999999988224
Gilbert,7,0.25,3,0,1.6791275080031483,138,0.603067821405787
Gilbert,7,0.25,3,1,0.988945999997668,86,0.9575140173390012
Gilbert,7,0.25,3,2,1.5228538829978788,132,0.9280279116105488
Gilbert,7,0.25,3,3,1.5579901759920176,124,0.9685725591061642
Gilbert,7,0.25,3,4,0.955645663998439,94,0.9634221413093897
Gilbert,7,0.25,3,5,0.9799966290011071,102,0.9749739788481737
Gilbert,7,0.25,3,6,1.5050057109910995,122,0.9999999999995882
Gilbert,7,0.25,3,7,1.331185053990339,112,0.9754258177091677
Gilbert,7,0.25,3,8,1.382579634009744,108,0.9999999999999831
Gilbert,7,0.25,3,9,1.9937726159987506,146,0.9400060494489362
Gilbert,8,0.25,3,0,1.8612425339961192,136,0.9723323013990252
Gilbert,8,0.25,3,1,1.9045382550102659,134,0.8097057623295711
Gilbert,8,0.25,3,2,1.6251954000035767,128,0.787445465513508
Gilbert,8,0.25,3,3,1.7216567569994368,112,0.4341149456989675
Gilbert,8,0.25,3,4,2.1798043370072264,148,0.9999999999951017
Gilbert,8,0.25,3,5,1.6957881400012411,124,0.9723488037748925
Gilbert,8,0.25,3,6,1.3688589619996492,96,0.6041686947033511
Gilbert,8,0.25,3,7,1.4332524010096677,96,0.6055308471388636
Gilbert,8,0.25,3,8,1.9013825489964802,148,0.7886627656624067
Gilbert,8,0.25,3,9,1.3468517000001157,106,0.8414760944712645
Gilbert,9,0.25,3,0,1.7459159159916453,112,0.9747045860114071
Gilbert,9,0.25,3,1,1.563653985998826,110,0.9257540836823779
Gilbert,9,0.25,3,2,4.1617880380072165,226,0.7284057553345786
Gilbert,9,0.25,3,3,2.577003564001643,134,0.5479210381995703
Gilbert,9,0.25,3,4,1.9958100100047886,118,0.3288473478810752
Gilbert,9,0.25,3,5,3.1157109219930135,176,0.8468606434189926
Gilbert,9,0.25,3,6,2.001114526996389,116,0.27234802542451897
Gilbert,9,0.25,3,7,1.3445263180037728,104,0.9712532669128863
Gilbert,9,0.25,3,8,1.1528158400033135,86,0.9796403242694622
Gilbert,9,0.25,3,9,2.32884432800347,158,0.8481265756306163
Gilbert,10,0.25,3,0,2.0944621140079107,122,0.9584872471711633
Gilbert,10,0.25,3,1,1.7192359690088779,118,0.903478891546154
Gilbert,10,0.25,3,2,1.9895752580050612,120,0.789426077995602
Gilbert,10,0.25,3,3,2.1598723430070095,124,0.9999999999993703
Gilbert,10,0.25,3,4,2.8824154479952995,148,0.6759942511812383
Gilbert,10,0.25,3,5,2.9568585340020945,146,0.28039803938560864
Gilbert,10,0.25,3,6,2.697302494998439,150,0.999999999994493
Gilbert,10,0.25,3,7,3.7074039580038516,224,0.643693122372644
Gilbert,10,0.25,3,8,1.2627207059995271,108,0.9924384988958634
Gilbert,10,0.25,3,9,2.1427801829995587,120,0.8566188299869021
Gilbert,11,0.25,3,0,1.4945096149895107,80,0.952175508510556
Gilbert,11,0.25,3,1,1.7920006679923972,92,0.5808168646127878
Gilbert,11,0.25,3,2,3.38263581598585,154,0.4944528629036514
