family,N,q,p,sample_idx,relax_ratio,opt_warm_ratio,opt_cold_ratio
Gilbert,5,0.25,1,0,1.0,0.8435492846645739,0.39802367869239436
Gilbert,5,0.25,1,1,1.0,0.8111970029275081,0.48607891094024724
Gilbert,5,0.25,1,2,1.0,0.9216531477736112,0.8816805272182263
Gilbert,5,0.25,1,3,1.0,0.9216531477736112,0.8816805272182263
Gilbert,5,0.25,1,4,1.0,0.75,0.5000000000000002
Gilbert,5,0.25,1,5,1.0,0.8111970029275083,0.48607891094024724
Gilbert,5,0.25,1,6,1.0,0.8429650338722449,0.42792305966929406
Gilbert,5,0.25,1,7,1.0,0.8228259320804204,0.7098607832040397
Gilbert,5,0.25,1,8,1.0,0.8429650338722449,0.42792305966929406
Gilbert,5,0.25,1,9,1.0,0.8646893704290834,0.5984406188950052
Gilbert,6,0.25,1,0,1.0,0.9352592840386353,0.703970338082591
Gilbert,6,0.25,1,1,1.0,0.36918061640691663,0.39699365342482745
Gilbert,6,0.25,1,2,1.0,0.9352592840386353,0.7039703380825909
Gilbert,6,0.25,1,3,1.0,0.2427692849081912,0.4175731323663466
Gilbert,6,0.25,1,4,1.0,0.8677206091101292,0.62007311780298
Gilbert,6,0.25,1,5,1.0,0.8566792438640052,0.7760712361630191
Gilbert,6,0.25,1,6,1.0,0.9393611648831686,0.5000604043361898
Gilbert,6,0.25,1,7,1.0,0.75,0.5000000000000001
Gilbert,6,0.25,1,8,1.0,0.26090709356849906,0.5152630172078773
Gilbert,6,0.25,1,9,1.0,0.8566792438640053,0.7760712361630191
Gilbert,7,0.25,1,0,0.5,0.2517207428187678,0.3045372742618575
Gilbert,7,0.25,1,1,1.0,0.8337662611222575,0.3752858259094819
Gilbert,7,0.25,1,2,1.0,0.31762262854709716,0.38979111335825467
Gilbert,7,0.25,1,3,1.0,0.5142502525952863,0.4385640324019544
Gilbert,7,0.25,1,4,1.0,0.7972414296187313,0.607855726597094
Gilbert,7,0.25,1,5,1.0,0.8610150577778402,0.730629101658346
Gilbert,7,0.25,1,6,1.0,0.3150462611099267,0.43462157467424817
Gilbert,7,0.25,1,7,1.0,0.3091805889290836,0.3185291418858551
Gilbert,7,0.25,1,8,1.0,0.30370088386150734,0.3601244858923234
Gilbert,7,0.25,1,9,1.0,0.18025305457007584,0.28973119652059204
Gilbert,8,0.25,1,0,1.0,0.45519569142147615,0.39787239647087735
Gilbert,8,0.25,1,1,1.0,0.7168110165407162,0.2823615834123979
Gilbert,8,0.25,1,2,1.0,0.47638885947378284,0.5482053942968907
Gilbert,8,0.25,1,3,0.5,0.3616962439199542,0.43559380987959334
Gilbert,8,0.25,1,4,1.0,0.2266138064868144,0.4171765776502638
Gilbert,8,0.25,1,5,1.0,0.45603969670637207,0.6044105076097592
Gilbert,8,0.25,1,6,1.0,0.2276430435035297,0.311227667339299
Gilbert,8,0.25,1,7,1.0,0.25176310336385943,0.3850702591562906
Gilbert,8,0.25,1,8,1.0,0.4093879920784283,0.45956341797801004
Gilbert,8,0.25,1,9,1.0,0.7354951682181264,0.5267687916736841
Gilbert,9,0.25,1,0,1.0,0.5285393175562485,0.4728566283583402
Gilbert,9,0.25,1,1,1.0,0.41759385883917605,0.4027164211115445
Gilbert,9,0.25,1,2,1.0,0.28179185088474806,0.30230375034090207
Gilbert,9,0.25,1,3,0.125,0.39899113847731704,0.39899113847731493
Gilbert,9,0.25,1,4,1.0,0.38919938632440787,0.42843267032720384
Gilbert,9,0.25,1,5,1.0,0.27979892282656116,0.276816244885554
Gilbert,9,0.25,1,6,-0.75,0.3167982357382938,0.3167982357382936
Gilbert,9,0.25,1,7,1.0,0.8036352071835834,0.4561799197018353
Gilbert,9,0.25,1,8,1.0,0.8797222931095031,0.6586733534463772
Gilbert,9,0.25,1,9,0.75,0.4698805209863253,0.46547071020384906
Gilbert,10,0.25,1,0,1.0,0.3285169131874418,0.30904322685578317
Gilbert,10,0.25,1,1,1.0,0.7858954585086378,0.6024243447936208
Gilbert,10,0.25,1,2,1.0,0.4981490787100166,0.24905666940928187
Gilbert,10,0.25,1,3,1.0,0.4873690392218374,0.5332598351029484
Gilbert,10,0.25,1,4,0.6,0.2235705739875562,0.2803760357769569
Gilbert,10,0.25,1,5,-0.1,0.28893134300893014,0.28893134300893025
Gilbert,10,0.25,1,6,1.0,0.47033024994406686,0.3667624972612644
Gilbert,10,0.25,1,7,1.0,0.17047460161866113,0.21120327985803114
Gilbert,10,0.25,1,8,1.0,0.9051277487445718,0.5107374357015028
Gilbert,10,0.25,1,9,1.0,0.6980960598771602,0.39187348521291837
Gilbert,11,0.25,1,0,1.0,0.7860553485286251,0.2925866389272522
Gilbert,11,0.25,1,1,1.0,0.3670465856341538,0.3200907838969597
Gilbert,11,0.25,1,2,0.0,0.2966770773336279,0.29667707733362764
Gilbert,11,0.25,1,3,1.0,0.3390522204883318,0.3617673968796382
Gilbert,11,0.25,1,4,0.5,0.2804098162495186,0.35135620877195245
Gilbert,11,0.25,1,5,-1.1,0.23807663648861704,0.2808717602600523
Gilbert,11,0.25,1,6,1.0,0.3202484036313221,0.4057825766541627
Gilbert,11,0.25,1,7,1.0,0.8001859241360374,0.31939975258404396
Gilbert,11,0.25,1,8,0.16666666666666666,0.2827793318792899,0.3143508001363476
Gilbert,11,0.25,1,9,1.0,0.31866662748714986,0.45138040161214305
Gilbert,12,0.25,1,0,-0.6,0.31030882315604524,0.32074346374725743
Gilbert,12,0.25,1,1,1.0,0.478562772607769,0.2330175159826858
Gilbert,12,0.25,1,2,0.8333333333333334,0.23269662826466353,0.30056524138978236
Gilbert,12,0.25,1,3,-0.2,0.3865397686234108,0.38653976862340855
Gilbert,12,0.25,1,4,0.6,0.31420507823908544,0.31420507823908495
Gilbert,12,0.25,1,5,-1.7,0.2554022942096301,0.25540229420963384
Gilbert,12,0.25,1,6,0.4166666666666667,0.27127826235134206,0.28561969633682427
Gilbert,12,0.25,1,7,-0.5,0.32538904060792995,0.3086617984464988
Gilbert,12,0.25,1,8,-0.1,0.29486130298496416,0.2948613029849674
Gilbert,12,0.25,1,9,1.0,0.6239562020164376,0.32669801116078506
Gilbert,13,0.25,1,0,1.0,0.41107622042000896,0.39240099812809603
Gilbert,13,0.25,1,1,1.0,0.21544009912630185,0.6117081270483768
Gilbert,13,0.25,1,2,1.0,0.46515554786608365,0.2522015948973366
Gilbert,13,0.25,1,3,0.5,0.23129969072467146,0.24563431258904966
Gilbert,13,0.25,1,4,-0.16666666666666666,0.3753951202457924,0.3753951202457921
Gilbert,13,0.25,1,5,0.7142857142857143,0.18032661996490035,0.26575293184823784
Gilbert,13,0.25,1,6,0.4166666666666667,0.26758692723597627,0.26758692723597516
Gilbert,13,0.25,1,7,1.0,0.29450098234683797,0.3563126447089584
Gilbert,13,0.25,1,8,1.0,0.3041844673845433,0.3525279685680494
Gilbert,13,0.25,1,9,0.5,0.26144948052915956,0.26144948052915884
Gilbert,14,0.25,1,0,0.8333333333333334,0.39300993926564426,0.2206102571817031
Gilbert,14,0.25,1,1,1.0,0.47740751335986664,0.1876258103184003
Gilbert,14,0.25,1,2,0.25,0.24351871089372437,0.24351871089372512
Gilbert,14,0.25,1,3,1.0,0.2576566073312433,0.36107029265766805
Gilbert,14,0.25,1,4,1.0,0.4498057317114741,0.2347720224473262
Gilbert,14,0.25,1,5,0.5,0.19350075221192395,0.18205588057900846
Gilbert,14,0.25,1,6,0.5714285714285714,0.23405970244191185,0.2410080472528669
Gilbert,14,0.25,1,7,0.4166666666666667,0.23883638175835017,0.25998808976936144
Gilbert,14,0.25,1,8,1.0,0.17882584769160406,0.20248511786895915
Gilbert,14,0.25,1,9,-1.5,0.25810336360568054,0.25810336360567837
Gilbert,15,0.25,1,0,-0.4166666666666667,0.26632709319127423,0.27780041431434777
Gilbert,15,0.25,1,1,1.0,0.7623068090557539,0.3123562871929004
Gilbert,15,0.25,1,2,-0.35714285714285715,0.2119533755806565,0.22052212747100963
Gilbert,15,0.25,1,3,-0.3333333333333333,0.25006621400174334,0.2500662140017436
Gilbert,15,0.25,1,4,-1.4285714285714286,0.27062479433378556,0.27246387522800625
Gilbert,15,0.25,1,5,0.75,0.16651051425785873,0.22813937954666552
