family,N,d,q,p,sample_idx,relax_core_ratio,relax_rounded_ratio,opt_warm_ratio,opt_cold_ratio
Gilbert,5,,0.1,1,0,0.125,1.0,0.8589115545978769,0.6510327624412556
Gilbert,5,,0.1,1,1,0.0,1.0,0.75,0.5000000000000002
Gilbert,5,,0.1,1,2,0.0,1.0,0.75,0.5000000000000002
Gilbert,5,,0.1,1,3,0.125,1.0,0.921653147773611,0.8816805272182264
Gilbert,5,,0.1,1,4,0.0,1.0,0.75,0.5000000000000002
Gilbert,5,,0.1,1,5,0.484375,0.75,0.7024571608636677,0.6390555412095852
Gilbert,5,,0.1,1,6,0.0,1.0,0.75,0.5000000000000002
Gilbert,5,,0.1,1,7,0.125,1.0,0.9216531477736112,0.8816805272182262
Gilbert,5,,0.1,1,8,0.125,1.0,0.9216531477736112,0.8816805272182263
Gilbert,5,,0.1,1,9,0.125,1.0,0.9216531477736112,0.8816805272182263
Gilbert,5,,0.1,1,10,0.3333333333333333,1.0,0.8228259320804204,0.7098607832040397
Gilbert,5,,0.1,1,11,0.125,1.0,0.9216531477736112,0.8816805272182263
Gilbert,5,,0.1,1,12,0.125,1.0,0.921653147773611,0.8816805272182262
Gilbert,5,,0.1,1,13,0.0,1.0,0.75,0.5000000000000002
Gilbert,5,,0.1,1,14,0.3333333333333333,1.0,0.8228259320804204,0.7098607832040397
Gilbert,5,,0.1,1,15,0.125,1.0,0.9216531477736112,0.8816805272182262
Gilbert,5,,0.1,1,16,0.0,1.0,0.75,0.5000000000000002
Gilbert,5,,0.1,1,17,0.0,1.0,0.75,0.5000000000000002
Gilbert,5,,0.1,1,18,0.125,1.0,0.8589115545978774,0.6510327624412557
Gilbert,5,,0.1,1,19,0.125,1.0,0.921653147773611,0.8816805272182264
Gilbert,5,,0.1,2,0,0.125,1.0,0.9384124847234274,0.8177933775187544
Gilbert,5,,0.1,2,1,0.0,1.0,0.75,0.49999999999999967
Gilbert,5,,0.1,2,2,0.0,1.0,0.75,0.49999999999999967
Gilbert,5,,0.1,2,3,0.125,1.0,0.9929963775681678,0.973322696278797
Gilbert,5,,0.1,2,4,0.0,1.0,0.75,0.49999999999999967
Gilbert,5,,0.1,2,5,0.484375,0.75,0.8142550158300079,0.7671450131376554
