family,N,d,q,p,sample_idx,times_cold,times_warm,evals_cold,evals_warm,aratio_cold,aratio_warm
Gilbert,5,,0.1,1,0,3.0004049791023135,1.378721809014678,24,30,0.6510327624412556,0.8589115545978769
Gilbert,5,,0.1,1,1,0.9714928369503468,1.024403511080891,14,18,0.5000000000000002,0.75
Gilbert,5,,0.1,1,2,0.9461440839804709,1.021835554158315,14,18,0.5000000000000002,0.75
Gilbert,5,,0.1,1,3,1.1941941410768777,1.4459977259393781,24,36,0.8816805272182264,0.921653147773611
Gilbert,5,,0.1,1,4,0.9499258249998093,1.020227509085089,14,18,0.5000000000000002,0.75
Gilbert,5,,0.1,1,5,1.16124350996688,1.2381737590767443,18,20,0.6390555412095852,0.7024571608636677
Gilbert,5,,0.1,1,6,0.9761080739554018,1.0253866789862514,14,18,0.5000000000000002,0.75
Gilbert,5,,0.1,1,7,1.19167590001598,1.4601266039535403,24,36,0.8816805272182262,0.9216531477736112
Gilbert,5,,0.1,1,8,1.1841510517988354,1.4304309510625899,24,36,0.8816805272182263,0.9216531477736112
Gilbert,5,,0.1,1,9,1.2032126730773598,1.426424539880827,24,36,0.8816805272182263,0.9216531477736112
Gilbert,5,,0.1,1,10,1.138218941166997,1.2233905310276896,20,24,0.7098607832040397,0.8228259320804204
Gilbert,5,,0.1,1,11,1.1944046299904585,1.443965784041211,24,36,0.8816805272182263,0.9216531477736112
Gilbert,5,,0.1,1,12,1.1869319691322744,1.4365142649039626,24,36,0.8816805272182262,0.921653147773611
Gilbert,5,,0.1,1,13,0.9618503239471465,1.0148153831250966,14,18,0.5000000000000002,0.75
Gilbert,5,,0.1,1,14,1.1362821571528912,1.2228319779969752,20,24,0.7098607832040397,0.8228259320804204
Gilbert,5,,0.1,1,15,1.2083009982015938,1.4331397879868746,24,36,0.8816805272182262,0.9216531477736112
Gilbert,5,,0.1,1,16,0.948346896097064,1.0193222297821194,14,18,0.5000000000000002,0.75
Gilbert,5,,0.1,1,17,0.9392021191306412,1.0213385981041938,14,18,0.5000000000000002,0.75
Gilbert,5,,0.1,1,18,1.2216632009949535,1.3813644819892943,24,30,0.6510327624412557,0.8589115545978774
Gilbert,5,,0.1,1,19,1.2092916150577366,1.4452074109576643,24,36,0.8816805272182264,0.921653147773611
Gilbert,5,,0.1,2,0,2.4131717989221215,2.9863677870016545,56,72,0.8177933775187544,0.9384124847234274
Gilbert,5,,0.1,2,1,1.0068412059918046,1.093197189969942,16,20,0.49999999999999967,0.75
Gilbert,5,,0.1,2,2,1.0192612379323691,1.0902632439974695,16,20,0.49999999999999967,0.75
Gilbert,5,,0.1,2,3,2.4955764459446073,2.8112122220918536,62,76,0.973322696278797,0.9929963775681678
Gilbert,5,,0.1,2,4,1.0143703890498728,1.0884880269877613,16,20,0.49999999999999967,0.75
Gilbert,5,,0.1,2,5,3.0506559929344803,4.06569257308729,62,84,0.7671450131376554,0.8142550158300079
Gilbert,5,,0.1,2,6,1.015736224129796,1.0907115519512445,16,20,0.49999999999999967,0.75
Gilbert,5,,0.1,2,7,2.494366282830015,2.8034542449750006,62,76,0.9733226962787969,0.9929963775681674
Gilbert,5,,0.1,2,8,2.481720617040992,2.7834870719816536,62,76,0.9733226962787966,0.9929963775681676
Gilbert,5,,0.1,2,9,2.5851079910062253,2.7737556418869644,62,76,0.9733226962787966,0.9929963775681676
Gilbert,5,,0.1,2,10,2.439640864962712,2.5485272619407624,54,60,0.9607353718803421,0.9914479528779016
Gilbert,5,,0.1,2,11,2.579558983212337,2.9277225979603827,62,76,0.973322696278797,0.9929963775681675
Gilbert,5,,0.1,2,12,2.4858076539821923,2.780075395014137,62,76,0.9733226962787964,0.9929963775681679
Gilbert,5,,0.1,2,13,1.0108973749447614,1.085214836988598,16,20,0.49999999999999967,0.75
Gilbert,5,,0.1,2,14,2.397533386014402,2.5501651288941503,54,60,0.9607353718803423,0.9914479528779009
Gilbert,5,,0.1,2,15,2.4972004040610045,2.7825819819699973,62,76,0.9733226962787969,0.9929963775681674
Gilbert,5,,0.1,2,16,1.0090813860297203,1.0811564391478896,16,20,0.49999999999999967,0.75
Gilbert,5,,0.1,2,17,1.0035027039702982,1.09655925584957,16,20,0.49999999999999967,0.75
Gilbert,5,,0.1,2,18,2.407360176090151,2.9287920999340713,56,72,0.8177933775187542,0.938412484723428
Gilbert,5,,0.1,2,19,2.588833126006648,2.8093997209798545,62,76,0.9733226962787965,0.9929963775681674
Gilbert,5,,0.1,3,0,4.579222901025787,5.793982258066535,98,130,0.935965865268602,0.9952788929419472
Gilbert,5,,0.1,3,1,1.0992369500454515,1.1820633499883115,18,22,0.5000000000000004,0.75
Gilbert,5,,0.1,3,2,1.1058793710544705,1.1842096159234643,18,22,0.5000000000000004,0.75
Gilbert,5,,0.1,3,3,5.129101861035451,6.164955904008821,116,148,0.9999999999992131,0.9999999999977557
Gilbert,5,,0.1,3,4,1.1096662720665336,1.179716866929084,18,22,0.5000000000000004,0.75
Gilbert,5,,0.1,3,5,10.524346531135961,6.284940249985084,186,124,0.968242317423305,0.9564396403271557
Gilbert,5,,0.1,3,6,1.207980186212808,1.184888789895922,18,22,0.5000000000000004,0.75
Gilbert,5,,0.1,3,7,5.115486225113273,6.238983209943399,116,148,0.9999999999992133,0.9999999999977568
Gilbert,5,,0.1,3,8,4.984662772156298,6.091354744043201,116,148,0.999999999999213,0.9999999999977558
Gilbert,5,,0.1,3,9,5.001991099910811,6.188019470078871,116,148,0.999999999999213,0.9999999999977558
Gilbert,5,,0.1,3,10,6.452699922025204,5.043829869944602,132,108,0.9999999999819812,0.999999999942499
Gilbert,5,,0.1,3,11,4.9905407298356295,6.099039280088618,116,148,0.9999999999992133,0.999999999997756
Gilbert,5,,0.1,3,12,5.093407701002434,6.107579171890393,116,148,0.9999999999992137,0.999999999997756
Gilbert,5,,0.1,3,13,1.1065524709410965,1.1757435861509293,18,22,0.5000000000000004,0.75
